match_id,t1,t2,correct,date,bankroll,betsize,$win,$lose,best,worst
295606,188,7386,False,2024-02-16,950.0,50,416.6666666666664,50,0.8928571428571428,0.8547008547008548
296745,17,878,False,2024-02-17,900.0,50,166.6666666666666,50,0.7692307692307692,0.7407407407407407
295610,6961,2,False,2024-02-17,850.0,50,45.87155963302753,50,0.4784688995215311,0.4716981132075471
296735,14,6387,False,2024-02-17,800.0,50,80.64516129032256,50,0.6172839506172839,0.6097560975609756
296731,6199,8304,True,2024-02-18,885.0,50,85.0,50,0.6296296296296297,0.5918367346938775
296730,5448,918,False,2024-02-18,835.0,50,111.11111111111114,50,0.6896551724137931,0.6622516556291391
295615,2355,11058,True,2024-02-18,851.5,50,16.5,50,0.2481203007518797,0.2307692307692308
296738,6387,918,True,2024-02-19,1033.5,50,181.99999999999994,50,0.7844827586206896,0.736842105263158
296747,17,624,True,2024-02-19,1298.5,50,265.0,50,0.8412698412698413,0.0740740740740741
295613,2,120,False,2024-02-19,1248.5,50,135.13513513513513,50,0.7299270072992701,0.7142857142857143
296737,14,5448,False,2024-02-19,1198.5,50,161.2903225806451,50,0.7633587786259541,0.6756756756756757
295608,2406,7386,True,2024-02-19,1271.0,50,72.5,50,0.5918367346938775,0.5780590717299579
297402,14419,8877,True,2024-02-20,1386.5,50,115.50000000000003,50,0.6978851963746224,0.6551724137931034
297401,1184,1001,True,2024-02-20,1731.5,50,345.0,50,0.8734177215189873,0.8310810810810811
296732,8185,8304,False,2024-02-20,1681.5,50,250.00000000000006,50,0.8333333333333334,0.7936507936507936
296733,278,6199,True,2024-02-20,1708.0,50,26.5,50,0.3464052287581699,0.2753623188405796
296739,5448,918,False,2024-02-21,1658.0,50,142.85714285714283,50,0.7407407407407407,0.7092198581560284
296734,8304,6199,True,2024-02-21,1725.5,50,67.50000000000001,50,0.574468085106383,0.5454545454545454
297412,2059,12694,False,2024-02-21,1675.5,50,156.25,50,0.7575757575757576,0.6666666666666666
297407,474,7035,False,2024-02-21,1625.5,50,208.33333333333343,50,0.8064516129032259,0.7575757575757576
296749,17,878,False,2024-02-21,1575.5,50,131.57894736842113,50,0.7246376811594204,0.3257328990228013
297406,4915,397,False,2024-02-21,1525.5,50,263.15789473684214,50,0.8403361344537815,0.819672131147541
297404,1184,14419,False,2024-02-22,1475.5,50,80.64516129032256,50,0.6172839506172839,0.591715976331361
297255,17,5448,False,2024-02-22,1425.5,50,96.15384615384616,50,0.6578947368421053,0.4694835680751174
297253,5448,6199,True,2024-02-22,1495.5,50,69.99999999999999,50,0.5833333333333333,0.3464052287581699
297403,1001,8877,False,2024-02-22,1445.5,50,40.0,50,0.4444444444444444,0.3846153846153846
297254,6199,17,True,2024-02-22,1510.0,50,64.5,50,0.5633187772925764,0.3548387096774194
295612,6961,2359,False,2024-02-23,1460.0,50,83.33333333333334,50,0.625,0.6172839506172839
297408,4915,474,False,2024-02-23,1410.0,50,86.2068965517241,50,0.6329113924050632,0.625
295607,1034,188,False,2024-02-23,1360.0,50,227.2727272727273,50,0.819672131147541,0.7692307692307692
297414,2059,2593,True,2024-02-23,1600.0,50,240.0,50,0.8275862068965517,0.0825688073394496
297409,397,7035,True,2024-02-23,1663.5,50,63.5,50,0.5594713656387665,0.5
295617,11058,5248,True,2024-02-24,1763.5,50,100.00000000000003,50,0.6666666666666667,0.2592592592592593
297256,14,624,True,2024-02-24,1776.0,50,12.5,50,0.1999999999999999,0.1935483870967741
297257,8185,17,True,2024-02-24,1881.0,50,105.00000000000003,50,0.6774193548387097,0.6598639455782314
297416,2059,12694,False,2024-02-25,1831.0,50,200.00000000000006,50,0.8,0.7936507936507936
295609,188,7386,True,2024-02-25,1917.5,50,86.5,50,0.6336996336996337,0.6212121212121212
295619,11058,2355,False,2024-02-25,1867.5,50,131.57894736842113,50,0.7246376811594204,0.4132231404958678
297405,8877,1184,False,2024-02-25,1817.5,50,31.44654088050315,50,0.3861003861003861,0.3448275862068966
297410,474,7035,True,2024-02-25,1917.0,50,99.5,50,0.6655518394648829,0.6
295614,2359,2,True,2024-02-25,1970.0,50,53.0,50,0.5145631067961165,0.4594594594594595
307573,11058,7386,True,2024-02-26,1996.0,50,26.0,50,0.3421052631578947,0.3150684931506849
307572,7386,2,True,2024-02-26,2011.0,50,15.0,50,0.2307692307692308,0.180327868852459
307565,7035,2059,True,2024-02-26,2061.0,50,50.0,50,0.5,0.4565217391304348
307564,8877,7035,False,2024-02-26,2011.0,50,62.5,50,0.5555555555555556,0.4464285714285714
307574,2,11058,True,2024-02-26,2126.0,50,115.00000000000003,50,0.696969696969697,0.6710526315789473
307567,8877,2059,False,2024-02-26,2076.0,50,40.983606557377044,50,0.4504504504504504,0.4347826086956522
303094,2593,8877,True,2024-02-29,2341.0,50,265.0,50,0.8412698412698413,0.8319327731092437
303093,1001,4915,False,2024-02-29,2291.0,50,20.491803278688522,50,0.2906976744186046,0.2857142857142857
